tahun,provinsi,share_pdrb_pct,growth_pct,kalimantan,nasional
2021,Aceh,1.09,2.81,false,false
2021,Bali,1.3,-2.46,false,false
2021,Banten,3.93,4.49,false,false
2021,Bengkulu,0.47,3.27,false,false
2021,Di Yogyakarta,0.88,5.58,false,false
2021,Dki Jakarta,17.18,3.55,false,false
2021,Gorontalo,0.26,2.4,false,false
2021,Indonesia,100.0,3.7,false,true
2021,Jambi,1.37,3.7,false,false
2021,Jawa Barat,13.01,3.74,false,false
2021,Jawa Tengah,8.38,3.33,false,false
2021,Jawa Timur,14.48,3.56,false,false
2021,Kalimantan Barat,1.36,4.8,true,false
2021,Kalimantan Selatan,1.17,3.48,true,false
2021,Kalimantan Tengah,1.0,3.59,true,false
2021,Kalimantan Timur,4.11,2.55,true,false
2021,Kalimantan Utara,0.66,3.99,true,false
2021,Kep. Bangka Belitung,0.51,5.05,false,false
2021,Kep. Riau,1.63,3.43,false,false
2021,Lampung,2.19,2.77,false,false
2021,Maluku,0.29,3.63,false,false
2021,Maluku Utara,0.31,16.79,false,false
2021,Nusa Tenggara Barat,0.83,2.3,false,false
2021,Nusa Tenggara Timur,0.65,2.52,false,false
2021,Papua,1.39,15.16,false,false
2021,Papua Barat,0.5,-0.51,false,false
2021,Riau,4.95,3.36,false,false
2021,Sulawesi Barat,0.3,2.57,false,false
2021,Sulawesi Selatan,3.21,4.64,false,false
2021,Sulawesi Tengah,1.46,11.68,false,false
2021,Sulawesi Tenggara,0.82,4.1,false,false
2021,Sulawesi Utara,0.84,4.16,false,false
2021,Sumatera Barat,1.49,3.29,false,false
2021,Sumatera Selatan,2.91,3.58,false,false
2021,Sumatera Utara,5.07,2.61,false,false
2022,Aceh,1.1,4.21,false,false
2022,Bali,1.28,4.84,false,false
2022,Banten,3.9,5.03,false,false
2022,Bengkulu,0.47,4.31,false,false
2022,Di Yogyakarta,0.87,5.15,false,false
2022,Dki Jakarta,16.65,5.25,false,false
2022,Gorontalo,0.25,4.03,false,false
2022,Indonesia,100.0,5.31,false,true
2022,Jambi,1.45,5.12,false,false
2022,Jawa Barat,12.66,5.45,false,false
2022,Jawa Tengah,8.14,5.31,false,false
2022,Jawa Timur,14.27,5.34,false,false
2022,Kalimantan Barat,1.34,5.07,true,false
2022,Kalimantan Selatan,1.31,5.11,true,false
2022,Kalimantan Tengah,1.04,6.45,true,false
2022,Kalimantan Timur,4.81,4.48,true,false
2022,Kalimantan Utara,0.72,5.32,true,false
2022,Kep. Bangka Belitung,0.5,4.4,false,false
2022,Kep. Riau,1.61,5.06,false,false
2022,Lampung,2.16,4.28,false,false
2022,Maluku,0.28,5.31,false,false
2022,Maluku Utara,0.37,22.94,false,false
2022,Nusa Tenggara Barat,0.82,6.95,false,false
2022,Nusa Tenggara Timur,0.62,3.08,false,false
2022,Papua,1.37,8.97,false,false
2022,Papua Barat,0.48,2.03,false,false
2022,Riau,5.18,4.55,false,false
2022,Sulawesi Barat,0.28,2.26,false,false
2022,Sulawesi Selatan,3.16,5.1,false,false
2022,Sulawesi Tengah,1.69,15.22,false,false
2022,Sulawesi Tenggara,0.83,5.53,false,false
2022,Sulawesi Utara,0.82,5.42,false,false
2022,Sumatera Barat,1.49,4.36,false,false
2022,Sumatera Selatan,3.08,5.24,false,false
2022,Sumatera Utara,4.99,4.73,false,false
2023,Aceh,1.11,4.23,false,false
2023,Bali,1.34,5.72,false,false
2023,Banten,3.96,4.81,false,false
2023,Bengkulu,0.47,4.28,false,false
2023,Di Yogyakarta,0.88,5.07,false,false
2023,Dki Jakarta,16.77,4.96,false,false
2023,Gorontalo,0.25,4.5,false,false
2023,Indonesia,100.0,5.05,false,true
2023,Jambi,1.43,4.65,false,false
2023,Jawa Barat,12.79,5.0,false,false
2023,Jawa Tengah,8.26,4.97,false,false
2023,Jawa Timur,14.38,4.95,false,false
2023,Kalimantan Barat,1.34,4.46,true,false
2023,Kalimantan Selatan,1.31,4.84,true,false
2023,Kalimantan Tengah,1.02,4.14,true,false
2023,Kalimantan Timur,4.11,6.22,true,false
2023,Kalimantan Utara,0.72,4.96,true,false
2023,Kep. Bangka Belitung,0.5,4.38,false,false
2023,Kep. Riau,1.62,5.16,false,false
2023,Lampung,2.19,4.55,false,false
2023,Maluku,0.28,5.21,false,false
2023,Maluku Utara,0.42,21.57,false,false
2023,Nusa Tenggara Barat,0.81,1.8,false,false
2023,Nusa Tenggara Timur,0.63,3.49,false,false
2023,Papua,0.4,4.22,false,false
2023,Papua Barat,0.3,5.18,false,false
2023,Papua Barat Daya,0.18,1.82,false,false
2023,Papua Pegunungan,0.12,4.78,false,false
2023,Papua Selatan,0.15,4.23,false,false
2023,Papua Tengah,0.73,5.95,false,false
2023,Riau,5.0,4.21,false,false
2023,Sulawesi Barat,0.29,5.23,false,false
2023,Sulawesi Selatan,3.18,4.51,false,false
2023,Sulawesi Tengah,1.69,11.91,false,false
2023,Sulawesi Tenggara,0.86,5.35,false,false
2023,Sulawesi Utara,0.84,5.48,false,false
2023,Sumatera Barat,1.52,4.62,false,false
2023,Sumatera Selatan,3.06,5.08,false,false
2023,Sumatera Utara,5.12,5.01,false,false
2024,Aceh,1.1,4.66,false,false
2024,Bali,1.36,5.48,false,false
2024,Banten,3.97,4.79,false,false
2024,Bengkulu,0.47,4.62,false,false
2024,Di Yogyakarta,0.88,5.03,false,false
2024,Dki Jakarta,16.71,4.91,false,false
2024,Gorontalo,0.25,4.13,false,false
2024,Indonesia,100.0,5.03,false,true
2024,Jambi,1.47,4.5,false,false
2024,Jawa Barat,12.82,4.95,false,false
2024,Jawa Tengah,8.25,4.95,false,false
2024,Jawa Timur,14.39,4.93,false,false
2024,Kalimantan Barat,1.36,4.9,true,false
2024,Kalimantan Selatan,1.3,5.06,true,false
2024,Kalimantan Tengah,1.01,4.46,true,false
2024,Kalimantan Timur,3.9,6.17,true,false
2024,Kalimantan Utara,0.67,4.73,true,false
2024,Kep. Bangka Belitung,0.49,0.77,false,false
2024,Kep. Riau,1.6,5.02,false,false
2024,Lampung,2.2,4.57,false,false
2024,Maluku,0.28,5.34,false,false
2024,Maluku Utara,0.44,13.92,false,false
2024,Nusa Tenggara Barat,0.83,5.3,false,false
2024,Nusa Tenggara Timur,0.62,3.87,false,false
2024,Papua,0.39,4.11,false,false
2024,Papua Barat,0.35,20.8,false,false
2024,Papua Barat Daya,0.17,3.6,false,false
2024,Papua Pegunungan,0.12,4.75,false,false
2024,Papua Selatan,0.15,5.09,false,false
2024,Papua Tengah,0.79,4.36,false,false
2024,Riau,5.05,3.52,false,false
2024,Sulawesi Barat,0.29,4.76,false,false
2024,Sulawesi Selatan,3.16,5.02,false,false
2024,Sulawesi Tengah,1.71,9.89,false,false
2024,Sulawesi Tenggara,0.86,5.4,false,false
2024,Sulawesi Utara,0.85,5.39,false,false
2024,Sumatera Barat,1.51,4.37,false,false
2024,Sumatera Selatan,3.01,5.03,false,false
2024,Sumatera Utara,5.21,5.03,false,false
